name,union,gruene,spd,linke,afd,fdp,bsw
Odenwald,30.71,11.26,18.13,7.11,18.76,4.94,4.44
Bergstraße,31.22,11.21,17.38,6.09,20.15,5.18,4.29
Eichsfeld – Nordhausen – Kyffhäuserkreis,23.34,2.69,8.56,13.29,38.95,2.96,8.55
Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,19.67,2.98,9.34,13.08,40.36,2.55,9.31
Jena – Sömmerda – Weimarer Land I,17.34,7.58,9.04,18.67,32.46,3.07,9.18
Gotha – Ilm-Kreis,17.65,3.5,8.83,14.96,40.56,2.66,9.25
Erfurt – Weimar – Weimarer Land II,17.57,8.76,10.53,22.12,26.88,2.88,8.97
Gera – Greiz – Altenburger Land,17.77,2.86,7.9,13.02,43.37,2.98,9.84
Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,17.94,2.95,7.53,13.46,42.92,2.81,9.92
Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,17.49,2.48,8.35,12.55,43.09,2.6,10.11
Neuwied,32.26,8.12,18.48,6.06,21.75,4.4,4.65
Ahrweiler,34.84,9.91,17.91,5.71,18.32,4.77,3.87
Koblenz,31.47,11.63,19.51,7.68,16.4,4.78,3.99
Mosel/Rhein-Hunsrück,34.92,7.73,17.8,5.25,19.63,5.33,3.96
Kreuznach,30.3,7.95,20.28,5.9,22.31,4.42,4.3
Bitburg,36.59,7.54,16.94,4.96,17.91,4.52,3.73
Trier,30.71,12.2,19.98,7.66,15.46,4.66,4.39
Montabaur,32.48,8.47,18.13,5.97,21.04,4.6,4.24
Mainz,26.52,20.7,18.52,11.07,10.81,5.12,3.3
Worms,28.82,10.68,19.09,6.35,21.93,4.66,3.92
Ludwigshafen/Frankenthal,27.51,8.89,19.43,6.82,23.43,4.39,4.87
Neustadt – Speyer,30.37,11.79,18.14,5.57,20.38,4.86,4.08
Kaiserslautern,24.9,8.23,20.55,6.06,25.87,3.93,4.97
Pirmasens,30.26,5.91,17.41,4.79,27.08,4.12,5.01
Südpfalz,30.84,11.09,17.19,6.12,21.2,4.3,4.31
Altötting,39.63,7.81,8.37,4.53,24.18,3.56,3.31
Erding – Ebersberg,40.07,13.01,10.09,5.05,16.51,5.05,2.68
Freising,38.46,11.62,9.9,5.21,19.07,4.35,2.85
Fürstenfeldbruck,39.68,13.97,11.63,5.33,14.99,5.04,2.68
Ingolstadt,40.26,9.23,10.14,4.74,21.43,3.76,3
München-Nord,28.88,22.83,15.43,9.06,9.55,6.69,3.27
München-Ost,31.08,22.02,15.15,8.39,9.63,6.27,3.21
München-Süd,28.71,24.08,15.51,9.33,9.29,5.56,3.09
München-West/Mitte,28.76,25.05,15.35,8.87,8.95,5.96,2.9
München-Land,39.05,17.23,12.99,5.03,11.74,6.33,2.57
Rosenheim,37.59,12.45,9.59,5.04,19.6,4.66,2.99
Bad Tölz-Wolfratshausen – Miesbach,41.89,12.44,9.07,4.04,17.17,5.31,2.73
Starnberg – Landsberg am Lech,38.68,16.81,11.51,5.17,13.47,5.84,2.67
Traunstein,38.85,10.28,9.84,4.37,20.12,3.42,3.43
Weilheim,41.64,11.93,9.69,4.79,16.91,4.72,2.8
Deggendorf,38.49,5.07,8.07,3.09,29.23,3.17,2.93
Landshut,36.24,8.7,9.46,4.62,22.37,3.72,2.92
Passau,38.58,6.83,9.67,3.96,25.51,3.27,3.41
Rottal-Inn,38.44,5.51,7.66,3.51,26.07,3,2.91
Straubing,39.28,5.29,8.02,3.5,27.72,3.03,2.92
Amberg,40.11,7.7,10.66,4.4,22.07,3.29,2.79
